rank,sku,pid,commentId,commentDate,score,countryCode,user,comment,imageUrls
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720154,2021-02-23T00:42:45+08:00,5,IL,N***g,looks nice still havnt use,
3,CJJJCWMY00030,0128A917-A355-4D8D-AA59-4FAA4F0013AD,7720155,2021-02-10T21:52:45+08:00,1,BY,S***a,Some garbage bag came in. Sewn on three sides. How to wash it? Does not correspond to the declared on the seller&#39;s website! Opened a dispute. I do not need such goods!,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/fcd086b1-be27-4cee-8d06-c2cd5863f647.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/2f913c2f-2b8c-4e9d-a7a9-3b755d172ff0.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/795d61fa-cdf0-4ed8-bb3c-e1334ee72301.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/8aa53ce2-3dfd-4bb7-8864-16865240a56a.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2021-08-02/3db1566d-73b2-4a8f-aaa9-34ecafd6d221.jpg
4,CJGY2064580,2406200640451621700,2605210144311604500,2026-05-20T14:44:11+08:00,5,FR,J***y,"Artículo perfecto, exactamente como se describe; excelente servicio. ¡Volveré a comprar!",
4,CJGY2064580,2406200640451621700,2605210144101623700,2026-05-13T09:43:38+08:00,5,FR,P***h,"¡Calidad excelente, envío rápido, lo recomiendo mucho! 5 estrellas⭐",
4,CJGY2064580,2406200640451621700,2605210143361618600,2026-05-07T09:43:16+08:00,5,ES,H***k,"Satisfait de tout : livraison rapide, emballage soigné. Un sans-faute !",
4,CJGY2064580,2406200640451621700,2507140608041614402,2025-07-14T23:52:10+08:00,4,FR,K***h,très bien,
4,CJGY2064580,2406200640451621700,2507140607581613101,2025-07-14T23:17:28+08:00,5,FR,Y***g,je suis satisfait.,
4,CJGY2064580,2406200640451621700,2507140608041613701,2025-07-14T12:43:24+08:00,5,ES,X***i,encantada! me gusta mucho! y a mi gato tambien,https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/d827decf-4161-47dc-8482-0c7d1881aec2.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/87c81a74-a3a3-47cb-920d-66fb6687316f.jpg|https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/78e5276a-e87e-46fa-b63e-c61750bce976.jpg
4,CJGY2064580,2406200640451621700,2507140608061613601,2025-07-14T11:48:34+08:00,1,UK,J***n,it says xl was xs tiny,
4,CJGY2064580,2406200640451621700,2507140607581613115,2025-07-14T10:52:11+08:00,5,PT,Y***a,"Just like the picture
..............................................................................",https://cc-west-usa.oss-us-west-1.aliyuncs.com/comment/additional/0001/image/2025-07-14/212217f5-25f7-4e73-b9e7-5ec5d72ea23f.jpg
